Benchmark,Source,Metric,Expected,Actual,AbsDiff,RelDiff,Tolerance,Passed,Note
1. OA 직교성 검증,Phadke (1989) p.51,L4 직교성 (검사 컬럼 쌍 3개),0,0,0.0,0.0,0.0,True,위반 쌍 = 0이면 완전 직교
1. OA 직교성 검증,Phadke (1989) p.51,L8 직교성 (검사 컬럼 쌍 21개),0,0,0.0,0.0,0.0,True,위반 쌍 = 0이면 완전 직교
1. OA 직교성 검증,Phadke (1989) p.51,L9 직교성 (검사 컬럼 쌍 6개),0,0,0.0,0.0,0.0,True,위반 쌍 = 0이면 완전 직교
1. OA 직교성 검증,Phadke (1989) p.51,L12 직교성 (검사 컬럼 쌍 55개),0,0,0.0,0.0,0.0,True,위반 쌍 = 0이면 완전 직교
1. OA 직교성 검증,Phadke (1989) p.51,L16 직교성 (검사 컬럼 쌍 105개),0,0,0.0,0.0,0.0,True,위반 쌍 = 0이면 완전 직교
1. OA 직교성 검증,Phadke (1989) p.51,L18 직교성 (검사 컬럼 쌍 28개),0,0,0.0,0.0,0.0,True,위반 쌍 = 0이면 완전 직교
1. OA 직교성 검증,Phadke (1989) p.51,L27 직교성 (검사 컬럼 쌍 78개),0,0,0.0,0.0,0.0,True,위반 쌍 = 0이면 완전 직교
2. 표준 OA 카탈로그 일치성,Minitab Catalogue of Taguchi designs / NIST Handbook,"L9 첫 번째 컬럼 = (1,1,1,2,2,2,3,3,3)","[1, 1, 1, 2, 2, 2, 3, 3, 3]","[1, 1, 1, 2, 2, 2, 3, 3, 3]",nan,nan,0.0,True,
2. 표준 OA 카탈로그 일치성,Minitab Catalogue of Taguchi designs / NIST Handbook,"L9 첫 번째 행 = (1,1,1,1)","[1, 1, 1, 1]","[1, 1, 1, 1]",nan,nan,0.0,True,
2. 표준 OA 카탈로그 일치성,Minitab Catalogue of Taguchi designs / NIST Handbook,"L8 첫 번째 컬럼 = (1,1,1,1,2,2,2,2)","[1, 1, 1, 1, 2, 2, 2, 2]","[1, 1, 1, 1, 2, 2, 2, 2]",nan,nan,0.0,True,
2. 표준 OA 카탈로그 일치성,Minitab Catalogue of Taguchi designs / NIST Handbook,"L18 첫 번째 컬럼 = 1×9, 2×9 (2수준)","[1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2]",nan,nan,0.0,True,
2. 표준 OA 카탈로그 일치성,Minitab Catalogue of Taguchi designs / NIST Handbook,"L27 첫 번째 컬럼 = 1×9, 2×9, 3×9","[1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3]",nan,nan,0.0,True,
2. 표준 OA 카탈로그 일치성,Minitab Catalogue of Taguchi designs / NIST Handbook,"L4 첫 번째 컬럼 = (1,1,2,2)","[1, 1, 2, 2]","[1, 1, 2, 2]",nan,nan,0.0,True,
2. 표준 OA 카탈로그 일치성,Minitab Catalogue of Taguchi designs / NIST Handbook,추천 OA (3인자 2수준),L4,L4,nan,nan,0.0,True,
2. 표준 OA 카탈로그 일치성,Minitab Catalogue of Taguchi designs / NIST Handbook,추천 OA (4인자 3수준),L9,L9,nan,nan,0.0,True,
2. 표준 OA 카탈로그 일치성,Minitab Catalogue of Taguchi designs / NIST Handbook,추천 OA (7인자 2수준),L8,L8,nan,nan,0.0,True,
2. 표준 OA 카탈로그 일치성,Minitab Catalogue of Taguchi designs / NIST Handbook,추천 OA (13인자 3수준),L27,L27,nan,nan,0.0,True,
3. S/N 비 수기 계산,Phadke (1989) Eq. 5.2-5.4,"S/N Larger [10,12,11]",20.755672,20.755672,0.0,0.0,1e-08,True,η = -10·log₁₀(mean(1/y²))
3. S/N 비 수기 계산,Phadke (1989) Eq. 5.2-5.4,"S/N Smaller [10,12,11]",-20.851716,-20.851716,0.0,0.0,1e-08,True,η = -10·log₁₀(mean(y²))
3. S/N 비 수기 계산,Phadke (1989) Eq. 5.2-5.4,"S/N Nominal [10,12,11]",20.827854,20.827854,0.0,0.0,1e-08,True,"η = 10·log₁₀(ȳ²/s²), s²는 ddof=1"
3. S/N 비 수기 계산,Phadke (1989) Eq. 5.2-5.4,S/N Larger 단일값 [5.0],13.9794,13.9794,0.0,0.0,1e-08,True,
3. S/N 비 수기 계산,Phadke (1989) Eq. 5.2-5.4,S/N Larger 음수 입력 → NaN,True,True,0.0,0.0,0.0,True,0 또는 음수가 있으면 정의 불가
4. ANOVA vs statsmodels 교차 검증,statsmodels 0.14+ (독립 구현),SS_A,23.834622,23.834622,6.394884621840902e-14,2.6830232885580634e-15,1e-06,True,직교 설계에서는 완전 일치해야 함
4. ANOVA vs statsmodels 교차 검증,statsmodels 0.14+ (독립 구현),SS_B,1.249271,1.249271,1.1102230246251565e-15,8.886966249449338e-16,1e-06,True,직교 설계에서는 완전 일치해야 함
4. ANOVA vs statsmodels 교차 검증,statsmodels 0.14+ (독립 구현),SS_F,0.098527,0.098527,1.304512053934559e-15,1.3240099029667926e-14,1e-06,True,직교 설계에서는 완전 일치해야 함
4. ANOVA vs statsmodels 교차 검증,statsmodels 0.14+ (독립 구현),SS_Error,0.224142,0.224142,5.578870698741412e-15,2.488985986408259e-14,1e-06,True,직교 설계에서는 완전 일치해야 함
4. ANOVA vs statsmodels 교차 검증,statsmodels 0.14+ (독립 구현),F_A 통계량,106.337006,106.337006,2.3590018827235326e-12,2.218420455373605e-14,0.0001,True,
4. ANOVA vs statsmodels 교차 검증,statsmodels 0.14+ (독립 구현),p-value_A,0.009316,0.009316,2.1684043449710089e-16,2.3275002920792035e-14,0.0001,True,
5. Desirability 함수 경계점,NIST Handbook 5.5.3.2.2 / Derringer & Suich (1980),"d_larger(y=5, L=10, T=20) = 0",0.0000e+00,0.0000e+00,0.0,0.0,1e-09,True,
5. Desirability 함수 경계점,NIST Handbook 5.5.3.2.2 / Derringer & Suich (1980),"d_larger(y=10, L=10, T=20) = 0",0.0000e+00,0.0000e+00,0.0,0.0,1e-09,True,
5. Desirability 함수 경계점,NIST Handbook 5.5.3.2.2 / Derringer & Suich (1980),"d_larger(y=15, L=10, T=20) = 0.5 (선형)",0.5,0.5,0.0,0.0,1e-09,True,
5. Desirability 함수 경계점,NIST Handbook 5.5.3.2.2 / Derringer & Suich (1980),"d_larger(y=20, L=10, T=20) = 1",1,1,0.0,0.0,1e-09,True,
